batter,total_runs,balls_played,innings,strike_rate,dismissals,average,boundary_runs,boundary_percent,dot_balls,dot_ball_percent,consistency_score,total_50s,total_100s,best_batting,total_wickets,best_bowling,best_batting_runs,best_batting_balls,best_bowling_wickets,best_bowling_runs
V Kohli,8850,6818,263,129.803461425638,234.0,37.82051282051282,4966.0,56.11299435028248,2370.0,34.76092695805221,27.25563303991428,66.0,8.0,113,5.0,2.0,113,51,2.0,25.0
RG Sharma,7185,5561,270,129.2033806869268,250.0,28.74,4478.0,62.32428670842032,2186.0,39.30947671282144,24.167796837223364,48.0,2.0,109,16.0,4.0,109,62,4.0,7.0
S Dhawan,6769,5483,221,123.45431333211744,194.0,34.891752577319586,3990.0,58.94519131334023,2136.0,38.9567754878716,25.375325762408128,51.0,2.0,106,4.0,1.0,106,61,1.0,8.0
DA Warner,6567,4849,184,135.4299855640338,164.0,40.04268292682927,4068.0,61.94609410689813,1873.0,38.62652093215096,28.974205825719736,62.0,4.0,126,0.0,0.0,126,60,0.0,2.0
SK Raina,5536,4177,200,132.53531242518554,168.0,32.95238095238095,3248.0,58.67052023121387,1476.0,35.336365812784294,23.215131090687144,39.0,1.0,100,30.0,2.0,100,54,2.0,0.0
MS Dhoni,5439,4101,241,132.626188734455,158.0,34.4240506329114,3084.0,56.70159955874241,1481.0,36.11314313582053,18.028810315246144,24.0,0.0,84,0.0,0.0,84,48,0.0,0.0
KL Rahul,5346,4018,139,133.0512692882031,120.0,44.55,3142.0,58.77291432846988,1414.0,35.19163763066202,30.10808216088376,41.0,5.0,132,0.0,0.0,132,70,0.0,0.0
AM Rahane,5184,4240,188,122.26415094339622,171.0,30.31578947368421,2884.0,55.63271604938272,1604.0,37.83018867924529,23.96521068642972,34.0,2.0,105,1.0,1.0,105,65,1.0,5.0
AB de Villiers,5181,3487,170,148.58044164037855,125.0,41.448,3174.0,61.26230457440649,1115.0,31.975910524806423,27.627317529215112,41.0,3.0,133,0.0,0.0,133,61,0.0,0.0
CH Gayle,4997,3516,141,142.1217292377702,128.0,39.0390625,3786.0,75.76545927556533,1636.0,46.53014789533561,33.13896472094577,32.0,6.0,175,19.0,3.0,175,69,3.0,21.0
RV Uthappa,4954,3927,197,126.15227909345556,184.0,26.92391304347826,3016.0,60.88009689140089,1598.0,40.69264069264069,21.15838365278173,27.0,0.0,88,0.0,0.0,88,53,0.0,0.0
SV Samson,4889,3586,176,136.3357501394311,156.0,31.33974358974359,2962.0,60.58498670484762,1293.0,36.05688789737869,25.453414921554845,26.0,4.0,119,0.0,0.0,119,66,0.0,0.0
KD Karthik,4843,3687,233,131.35340385136968,189.0,25.624338624338623,2830.0,58.43485442907289,1329.0,36.04556550040684,18.742270865137485,22.0,0.0,97,0.0,0.0,97,52,0.0,0.0
F du Plessis,4773,3605,147,132.39944521497918,135.0,35.355555555555554,2804.0,58.74711921223549,1289.0,35.75589459084605,25.18161596282696,39.0,0.0,96,0.0,0.0,96,55,0.0,16.0
SA Yadav,4417,3034,155,145.5833882663151,127.0,34.77952755905512,2886.0,65.3384650215078,1066.0,35.13513513513514,23.379248816865093,30.0,2.0,103,0.0,0.0,103,49,0.0,8.0
AT Rayudu,4348,3490,185,124.58452722063038,152.0,28.605263157894736,2474.0,56.89972401103955,1274.0,36.50429799426934,20.7718256938503,22.0,1.0,100,0.0,0.0,100,62,0.0,0.0
JC Buttler,4297,2969,123,144.72886493768945,110.0,39.06363636363636,2872.0,66.83732836862927,1143.0,38.497810710676994,30.70156183280817,26.0,7.0,124,0.0,0.0,124,69,0.0,0.0
G Gambhir,4217,3524,151,119.66515323496029,135.0,31.23703703703704,2322.0,55.0628408821437,1357.0,38.50737797956867,24.14928552090057,36.0,0.0,93,0.0,0.0,93,54,0.0,0.0
Shubman Gill,4031,2983,117,135.13241702983575,101.0,39.91089108910891,2302.0,57.10741751426445,989.0,33.15454240697285,29.347353674534308,28.0,4.0,129,0.0,0.0,129,63,0.0,0.0
MK Pandey,3951,3355,161,117.7645305514158,135.0,29.266666666666666,2056.0,52.03745887117186,1269.0,37.82414307004471,22.50555314495176,22.0,1.0,114,0.0,0.0,114,74,0.0,0.0
SR Watson,3880,2892,141,134.1632088520055,126.0,30.793650793650794,2648.0,68.24742268041237,1248.0,43.15352697095436,26.81939672190352,21.0,4.0,117,107.0,4.0,117,60,4.0,23.0
SS Iyer,3872,2981,134,129.88929889298893,116.0,33.37931034482759,2268.0,58.574380165289256,1081.0,36.2629989936263,24.403644697812844,29.0,0.0,97,0.0,0.0,97,45,0.0,7.0
RR Pant,3669,2584,127,141.9891640866873,109.0,33.6605504587156,2362.0,64.37721449986373,936.0,36.22291021671827,25.37316053117117,20.0,2.0,128,0.0,0.0,128,64,0.0,0.0
KA Pollard,3437,2447,168,140.45770331017573,129.0,26.643410852713178,2228.0,64.82397439627582,967.0,39.51777686963629,18.52586932727685,16.0,0.0,87,81.0,4.0,87,39,4.0,17.0
RA Jadeja,3336,2678,197,124.57057505601196,124.0,26.90322580645161,1690.0,50.65947242206234,919.0,34.31665421956684,13.329065626265187,5.0,0.0,77,182.0,5.0,77,45,5.0,16.0
Q de Kock,3312,2533,115,130.754046585077,108.0,30.666666666666668,2104.0,63.52657004830918,1020.0,40.26845637583892,26.877304062800093,24.0,2.0,140,0.0,0.0,140,71,0.0,0.0
YK Pathan,3222,2334,153,138.04627249357327,111.0,29.027027027027028,2018.0,62.63190564866542,872.0,37.36075407026564,19.67741000224076,14.0,1.0,100,46.0,3.0,100,40,3.0,21.0
Ishan Kishan,3211,2351,117,136.5801786473841,106.0,30.29245283018868,2116.0,65.89847399563999,920.0,39.13228413441089,24.779178009676773,19.0,1.0,106,0.0,0.0,106,52,0.0,4.0
DA Miller,3156,2354,136,134.0696686491079,91.0,34.68131868131868,1764.0,55.893536121673,792.0,33.64485981308411,20.054413995356924,13.0,1.0,101,0.0,0.0,101,39,0.0,0.0
WP Saha,2934,2368,143,123.90202702702702,121.0,24.24793388429752,1706.0,58.14587593728698,935.0,39.4847972972973,20.345208504967644,13.0,1.0,115,0.0,0.0,115,56,0.0,0.0
BB McCullum,2882,2272,109,126.84859154929578,106.0,27.18867924528302,1952.0,67.73074253990285,1028.0,45.24647887323944,26.78599384997224,13.0,2.0,158,0.0,0.0,158,77,0.0,0.0
N Rana,2873,2186,115,131.42726440988105,107.0,26.850467289719628,1908.0,66.41141663766098,914.0,41.81152790484904,22.55557759966057,20.0,0.0,87,10.0,2.0,87,62,2.0,11.0
PA Patel,2848,2442,136,116.62571662571663,127.0,22.4251968503937,1754.0,61.58707865168539,1081.0,44.26699426699427,17.872289623421004,13.0,0.0,81,0.0,0.0,81,60,0.0,0.0
HH Pandya,2825,2003,143,141.03844233649525,101.0,27.97029702970297,1778.0,62.93805309734514,722.0,36.04593110334498,17.620097673314344,10.0,0.0,91,86.0,5.0,91,34,5.0,36.0
GJ Maxwell,2820,1896,134,148.73417721518987,117.0,24.102564102564106,1918.0,68.01418439716312,732.0,38.607594936708864,23.38557671022465,18.0,0.0,95,45.0,2.0,95,48,2.0,10.0
MA Agarwal,2764,2146,125,128.7977632805219,119.0,23.22689075630252,1700.0,61.50506512301013,852.0,39.70177073625349,21.702243083117235,13.0,1.0,106,0.0,0.0,106,53,0.0,0.0
Yuvraj Singh,2754,2207,126,124.78477571363842,109.0,25.26605504587156,1766.0,64.12490922294843,977.0,44.26823742637064,18.389437962358407,13.0,0.0,83,39.0,4.0,83,42,4.0,29.0
V Sehwag,2728,1833,104,148.82705946535734,98.0,27.83673469387756,1972.0,72.28739002932552,737.0,40.207310420076375,27.529059939455102,16.0,2.0,122,6.0,2.0,122,62,2.0,18.0
AD Russell,2655,1626,114,163.2841328413284,92.0,28.85869565217392,2086.0,78.56873822975517,707.0,43.48093480934809,20.68932591459148,12.0,0.0,88,133.0,6.0,88,36,6.0,25.0
M Vijay,2619,2208,105,118.61413043478262,97.0,27.0,1534.0,58.57197403589156,987.0,44.70108695652174,24.126999148507625,13.0,2.0,127,0.0,0.0,127,57,0.0,8.0
RD Gaikwad,2565,1927,75,133.1084587441619,66.0,38.86363636363637,1520.0,59.25925925925925,695.0,36.06642449403218,30.26593839660397,20.0,2.0,108,0.0,0.0,108,61,0.0,0.0
SPD Smith,2495,1999,93,124.81240620310156,78.0,31.987179487179485,1264.0,50.66132264529058,660.0,33.01650825412706,20.65220467013777,11.0,1.0,101,0.0,0.0,101,54,0.0,5.0
