batter,total_runs,balls_played,innings,strike_rate
V Kohli,8850,6818,263,129.803461425638
RG Sharma,7185,5561,270,129.2033806869268
S Dhawan,6769,5483,221,123.45431333211745
DA Warner,6567,4849,184,135.4299855640338
SK Raina,5536,4177,200,132.53531242518554
MS Dhoni,5439,4101,241,132.626188734455
KL Rahul,5346,4018,139,133.0512692882031
AM Rahane,5184,4240,188,122.26415094339622
AB de Villiers,5181,3487,170,148.58044164037855
CH Gayle,4997,3516,141,142.1217292377702
RV Uthappa,4954,3927,197,126.15227909345556
SV Samson,4889,3586,176,136.3357501394311
KD Karthik,4843,3687,233,131.35340385136968
F du Plessis,4773,3605,147,132.39944521497918
SA Yadav,4417,3034,155,145.5833882663151
AT Rayudu,4348,3490,185,124.58452722063038
JC Buttler,4297,2969,123,144.72886493768945
G Gambhir,4217,3524,151,119.66515323496027
Shubman Gill,4031,2983,117,135.13241702983575
MK Pandey,3951,3355,161,117.7645305514158
SR Watson,3880,2892,141,134.1632088520055
SS Iyer,3872,2981,134,129.88929889298893
RR Pant,3669,2584,127,141.9891640866873
KA Pollard,3437,2447,168,140.45770331017573
RA Jadeja,3336,2678,197,124.57057505601195
Q de Kock,3312,2533,115,130.754046585077
YK Pathan,3222,2334,153,138.04627249357327
Ishan Kishan,3211,2351,117,136.5801786473841
DA Miller,3156,2354,136,134.0696686491079
WP Saha,2934,2368,143,123.90202702702702
BB McCullum,2882,2272,109,126.84859154929578
N Rana,2873,2186,115,131.42726440988105
PA Patel,2848,2442,136,116.62571662571663
HH Pandya,2825,2003,143,141.03844233649525
GJ Maxwell,2820,1896,134,148.73417721518987
MA Agarwal,2764,2146,125,128.7977632805219
Yuvraj Singh,2754,2207,126,124.78477571363842
V Sehwag,2728,1833,104,148.82705946535734
AD Russell,2655,1626,114,163.28413284132841
M Vijay,2619,2208,105,118.61413043478262
RD Gaikwad,2565,1927,75,133.1084587441619
SPD Smith,2495,1999,93,124.81240620310155
SE Marsh,2489,1913,69,130.10977522216413
JH Kallis,2427,2291,95,105.93627237014405
DR Smith,2385,1803,88,132.27953410981698
YBK Jaiswal,2350,1577,71,149.0171211160431
SR Tendulkar,2334,2044,78,114.18786692759295
N Pooran,2334,1483,90,157.3836817262306
RA Tripathi,2291,1707,98,134.21206795547744
R Dravid,2174,1918,82,113.34723670490095
KS Williamson,2132,1734,76,122.95271049596307
AJ Finch,2092,1696,90,123.34905660377358
AC Gilchrist,2069,1555,80,133.05466237942122
MP Stoinis,2035,1462,101,139.19288645690835
JP Duminy,2029,1680,75,120.77380952380952
MEK Hussey,1977,1648,58,119.96359223300972
S Dube,1961,1440,80,136.18055555555554
Abhishek Sharma,1945,1237,79,157.23524656426838
D Padikkal,1931,1559,77,123.86144964720975
AR Patel,1919,1496,126,128.27540106951872
B Sai Sudharsan,1906,1359,44,140.25018395879323
PP Shaw,1892,1321,79,143.22482967448903
SP Narine,1816,1167,120,155.61268209083119
DPMD Jayawardene,1808,1522,78,118.7910643889619
KH Pandya,1757,1382,115,127.13458755426919
Mandeep Singh,1706,1418,97,120.31029619181946
H Klaasen,1704,1075,50,158.51162790697674
MK Tiwary,1695,1489,83,113.83478844862324
KK Nair,1694,1314,76,128.9193302891933
KC Sangakkara,1687,1424,68,118.4691011235955
JM Bairstow,1674,1181,52,141.7442845046571
R Parag,1619,1194,77,135.59463986599664
DJ Bravo,1560,1247,110,125.10024057738573
NV Ojha,1554,1360,94,114.26470588235293
AK Markram,1548,1165,59,132.8755364806867
Tilak Varma,1534,1119,55,137.08668453976765
SO Hetmyer,1512,1054,81,143.45351043643265
DJ Hooda,1497,1213,101,123.41302555647155
VR Iyer,1497,1123,57,133.30365093499555
SS Tiwary,1494,1291,73,115.72424477149497
P Simran Singh,1486,991,55,149.94954591321897
S Badrinath,1441,1245,65,115.74297188755021
EJG Morgan,1406,1181,74,119.05165114309906
BJ Hodge,1400,1153,63,121.42237640936686
MR Marsh,1367,990,53,138.08080808080808
SC Ganguly,1349,1326,56,101.73453996983409
CA Lynn,1329,974,42,136.4476386036961
DJ Hussey,1322,1101,61,120.07266121707538
RM Patidar,1306,860,42,151.86046511627907
TM Head,1266,788,42,160.65989847715736
V Shankar,1233,985,63,125.17766497461929
KM Jadhav,1208,1012,81,119.36758893280633
PD Salt,1188,700,38,169.7142857142857
RK Singh,1177,860,55,136.86046511627907
MM Ali,1167,865,59,134.91329479768785
TM Dilshan,1153,1047,50,110.12416427889207
IK Pathan,1150,985,82,116.75126903553299
R Tewatia,1146,879,80,130.37542662116041
ML Hayden,1107,839,32,131.94278903456495
M Vohra,1083,863,51,125.49246813441484
DP Conway,1080,794,28,136.02015113350126
LMP Simmons,1079,878,29,122.89293849658314
LS Livingstone,1065,720,48,147.91666666666669
A Badoni,1038,799,50,129.91239048811013
LRPL Taylor,1017,847,54,120.07083825265643
JM Sharma,1006,674,50,149.25816023738872
KP Pietersen,1001,758,36,132.05804749340368
MC Henriques,1000,801,54,124.84394506866417
SM Curran,997,761,53,131.011826544021
Y Venugopal Rao,985,865,52,113.87283236994219
TH David,979,586,48,167.06484641638227
JA Morkel,975,712,67,136.93820224719101
A Symonds,974,781,36,124.71190781049937
CL White,971,774,45,125.45219638242895
BA Stokes,935,718,43,130.22284122562675
HH Gibbs,886,837,36,105.8542413381123
STR Binny,880,700,66,125.71428571428571
Dhruv Jurel,856,560,40,152.85714285714283
R Ashwin,833,728,93,114.42307692307692
Harbhajan Singh,833,636,88,130.9748427672956
T Stubbs,820,525,34,156.1904761904762
Abdul Samad,815,570,55,142.98245614035088
Shashank Singh,807,531,36,151.9774011299435
MS Bisla,798,737,39,108.27679782903662
Shakib Al Hasan,795,665,52,119.54887218045114
ST Jayasuriya,768,573,30,134.03141361256544
C Green,763,513,33,148.7329434697856
M Shahrukh Khan,747,527,50,141.74573055028463
N Wadhera,746,551,34,135.39019963702358
GC Smith,739,691,29,106.9464544138929
AD Mathews,724,599,41,120.86811352253757
SN Khan,707,527,40,134.15559772296015
TL Suman,676,587,39,115.1618398637138
AM Nayar,672,588,50,114.28571428571428
GJ Bailey,663,552,36,120.1086956521739
Abishek Porel,661,454,29,145.59471365638768
E Lewis,654,499,26,131.06212424849699
Priyansh Arya,648,351,21,184.6153846153846
A Raghuvanshi,645,448,23,143.97321428571428
