bowler,wickets,balls_bowled,runs_given,economy
YS Chahal,233,3972,5195,7.847432024169185
B Kumar,217,4480,5691,7.621874999999999
SP Narine,215,4511,5135,6.829971181556196
DJ Bravo,207,3296,4436,8.075242718446603
R Ashwin,205,4868,5721,7.051355792933443
JJ Bumrah,204,3569,4286,7.205379658167554
PP Chawla,201,3895,5179,7.977920410783056
SL Malinga,188,2974,3486,7.032952252858103
A Mishra,183,3444,4193,7.304878048780488
RA Jadeja,182,4169,5300,7.627728472055649
Rashid Khan,171,3335,3973,7.147826086956522
Sandeep Sharma,169,3277,4316,7.902349710100701
HV Patel,168,2617,3747,8.590752770347727
UT Yadav,163,3190,4442,8.354858934169279
Harbhajan Singh,161,3496,4101,7.038329519450801
Mohammed Shami,154,2810,3935,8.402135231316727
TA Boult,152,2845,3916,8.258699472759227
MM Sharma,149,2471,3537,8.58842573856738
AR Patel,140,3457,4252,7.3798090830199605
AD Russell,133,1885,2909,9.259416445623343
K Rabada,132,2090,2978,8.549282296650716
R Vinay Kumar,127,2186,3041,8.346752058554436
JD Unadkat,125,2418,3541,8.786600496277917
A Nehra,121,1974,2537,7.711246200607903
SN Thakur,120,2281,3432,9.027619465146866
Z Khan,119,2276,2860,7.539543057996484
Mohammed Siraj,116,2538,3571,8.44208037825059
Kuldeep Yadav,109,2188,2934,8.045703839122485
Arshdeep Singh,108,1921,2774,8.664237376366476
SR Watson,107,2137,2742,7.698642957416939
CH Morris,107,1801,2377,7.918933925596891
DW Steyn,105,2282,2583,6.791411042944785
KH Pandya,102,2545,3144,7.412180746561885
P Kumar,102,2637,3342,7.604095563139931
CV Varun,102,1988,2537,7.656941649899396
I Sharma,100,2546,3465,8.165750196386488
RP Singh,100,1874,2417,7.7385272145144075
PP Ojha,99,1945,2399,7.40051413881748
IK Pathan,99,2113,2711,7.698059630856601
Avesh Khan,97,1746,2602,8.941580756013746
KK Ahmed,96,1741,2521,8.688110281447445
JA Morkel,96,1807,2409,7.998893193137797
DL Chahar,92,2033,2663,7.859321200196754
M Prasidh Krishna,91,1694,2399,8.497048406139315
DS Kulkarni,91,1876,2513,8.037313432835822
KV Sharma,89,1611,2263,8.42830540037244
M Morkel,88,1699,2136,7.5432607416127135
Ravi Bishnoi,87,1791,2413,8.083752093802346
Imran Tahir,86,1340,1729,7.741791044776119
HH Pandya,86,1772,2637,8.928893905191874
L Balaji,85,1574,2083,7.940279542566708
R Bhatia,82,1661,2059,7.437688139674895
PJ Cummins,82,1682,2436,8.689655172413794
MM Patel,82,1382,1733,7.523878437047757
AB Dinda,82,1589,2103,7.940843297671492
T Natarajan,82,1517,2195,8.681608437705998
KA Pollard,81,1586,2200,8.32282471626734
MA Starc,78,1124,1588,8.476868327402135
RD Chahar,76,1728,2220,7.708333333333334
JP Faulkner,76,1287,1849,8.620046620046619
MJ McClenaghan,75,1346,1839,8.197622585438335
Mustafizur Rahman,74,1419,1879,7.945031712473573
JH Kallis,74,1799,2348,7.8310172317954425
SK Trivedi,73,1557,1944,7.491329479768787
Shakib Al Hasan,71,1515,1864,7.3821782178217825
JC Archer,69,1383,1801,7.813449023861172
M Muralitharan,67,1581,1765,6.698292220113853
MG Johnson,66,1301,1740,8.024596464258263
SM Curran,63,1308,2059,9.444954128440367
LH Ferguson,63,1078,1558,8.67161410018553
A Nortje,63,1169,1740,8.930710008554321
S Kaul,63,1238,1772,8.588045234248789
SK Warne,60,1223,1465,7.187244480784955
JR Hazlewood,60,916,1264,8.279475982532752
TU Deshpande,59,1103,1726,9.388939256572982
JO Holder,59,1049,1489,8.516682554814109
TG Southee,57,1262,1774,8.434231378763867
S Nadeem,54,1444,1800,7.4792243767313025
M Pathirana,53,787,1047,7.982210927573062
S Gopal,53,1000,1358,8.148
Noor Ahmad,53,933,1263,8.122186495176848
NM Coulter-Nile,52,892,1125,7.5672645739910305
SB Jakati,50,1101,1474,8.032697547683924
Mukesh Kumar,50,765,1257,9.858823529411765
A Kumble,49,983,1089,6.646998982706002
S Aravind,48,788,1057,8.048223350253807
AJ Tye,48,714,1005,8.445378151260504
RJ Harris,47,865,1085,7.526011560693642
PWH de Silva,47,808,1134,8.42079207920792
MM Ali,46,869,1036,7.153049482163406
YK Pathan,46,1184,1443,7.3125
MC Henriques,46,979,1302,7.9795709908069465
MP Stoinis,46,929,1494,9.649085037674919
VR Aaron,46,1065,1527,8.60281690140845
Yash Dayal,45,920,1412,9.208695652173914
VG Arora,45,793,1223,9.253467843631778
Iqbal Abdulla,45,943,1125,7.158006362672323
GJ Maxwell,45,1047,1422,8.148997134670488
PJ Sangwan,44,905,1267,8.399999999999999
S Sreesanth,43,947,1221,7.736008447729672
DE Bollinger,43,600,716,7.16
P Awana,43,774,1046,8.108527131782946
Washington Sundar,42,1156,1485,7.707612456747405
R Sharma,42,935,1100,7.0588235294117645
Harshit Rana,42,679,1047,9.251840942562593
M Jansen,40,862,1283,8.930394431554525
WD Parnell,40,758,968,7.6622691292875995
DT Christian,40,922,1218,7.926247288503254
MS Gony,39,925,1317,8.542702702702702
M Kartik,39,1182,1418,7.197969543147208
Yuvraj Singh,39,882,1091,7.421768707482993
P Negi,38,733,954,7.809004092769442
DP Nannes,38,689,815,7.097242380261249
M Markande,37,768,1157,9.0390625
MR Marsh,37,593,803,8.124789207419898
NLTC Perera,37,715,1031,8.651748251748252
L Ngidi,37,487,667,8.217659137577002
CJ Jordan,36,717,1111,9.297071129707113
R Tewatia,36,866,1117,7.7390300230946885
