batter,death_runs,death_balls,death_sr
A Ashish Reddy,214,148,144.5945945945946
A Badoni,514,337,152.52225519287833
A Chandila,4,7,57.14285714285714
A Chopra,1,2,50.0
A Choudhary,25,20,125.0
A Dananjaya,4,5,80.0
A Flintoff,25,18,138.88888888888889
A Kamboj,42,38,110.5263157894737
A Kumble,34,44,77.27272727272727
A Manohar,148,99,149.4949494949495
A Mhatre,9,10,90.0
A Mishra,260,264,98.48484848484848
A Mithun,19,14,135.71428571428572
A Mukund,0,1,0.0
A Nehra,41,63,65.07936507936508
A Nortje,49,52,94.23076923076923
A Raghuvanshi,78,55,141.8181818181818
A Singh,2,8,25.0
A Symonds,293,197,148.73096446700507
A Uniyal,4,7,57.14285714285714
A Zampa,6,11,54.54545454545454
AA Bilakhia,36,34,105.88235294117648
AA Chavan,11,8,137.5
AA Jhunjhunwala,69,53,130.18867924528303
AB Agarkar,125,98,127.55102040816327
AB Barath,2,5,40.0
AB Dinda,20,41,48.78048780487805
AB McDonald,80,68,117.64705882352942
AB de Villiers,1868,867,215.4555940023068
AC Gilchrist,63,32,196.875
AC Thomas,20,19,105.26315789473684
AC Voges,85,56,151.78571428571428
AD Mascarenhas,49,41,119.51219512195121
AD Mathews,425,289,147.05882352941177
AD Nath,22,25,88.0
AD Russell,1432,795,180.125786163522
AF Milne,17,22,77.27272727272727
AG Murtaza,10,14,71.42857142857143
AJ Finch,282,184,153.26086956521738
AJ Hosein,16,11,145.45454545454547
AJ Turner,7,19,36.84210526315789
AJ Tye,70,62,112.90322580645163
AK Markram,242,148,163.51351351351352
AL Menaria,97,83,116.86746987951808
AM Nayar,310,200,155.0
AM Rahane,509,330,154.24242424242425
AN Ahmed,36,27,133.33333333333331
AP Dole,33,21,157.14285714285714
AP Majumdar,2,3,66.66666666666666
AP Tare,40,26,153.84615384615387
AR Bawne,12,12,100.0
AR Patel,967,660,146.5151515151515
AS Joseph,24,29,82.75862068965517
AS Rajpoot,25,36,69.44444444444444
AS Raut,120,108,111.11111111111111
AS Roy,23,18,127.77777777777777
AS Yadav,39,30,130.0
AT Carey,32,29,110.34482758620689
AT Rayudu,1179,725,162.6206896551724
AU Rashid,4,3,133.33333333333331
AUK Pathan,14,12,116.66666666666667
Abdul Basith,1,1,100.0
Abdul Samad,516,317,162.77602523659306
Abdur Razzak,0,2,0.0
Abhishek Sharma,176,120,146.66666666666666
Abishek Porel,58,34,170.58823529411765
Akash Deep,20,12,166.66666666666669
Akash Madhwal,6,9,66.66666666666666
Aman Hakim Khan,59,44,134.0909090909091
Aniket Verma,142,77,184.41558441558442
Anirudh Singh,13,14,92.85714285714286
Ankit Sharma,48,35,137.14285714285714
Ankit Soni,7,9,77.77777777777779
Anuj Rawat,142,85,167.05882352941177
Anureet Singh,32,38,84.21052631578947
Arjun Tendulkar,13,9,144.44444444444443
Arshad Khan,80,59,135.59322033898303
Arshad Khan (2),5,4,125.0
Arshdeep Singh,27,45,60.0
Ashok Sharma,0,1,0.0
Ashutosh Sharma,272,162,167.9012345679012
Auqib Nabi,0,1,0.0
Avesh Khan,55,40,137.5
Azhar Mahmood,123,94,130.85106382978725
Azmatullah Omarzai,29,20,145.0
B Akhil,49,36,136.11111111111111
B Chipli,100,56,178.57142857142858
B Kumar,295,323,91.3312693498452
B Laughlin,2,6,33.33333333333333
B Lee,112,92,121.73913043478262
B Sai Sudharsan,232,116,200.0
B Stanlake,5,2,250.0
B Sumanth,26,26,100.0
BA Bhatt,6,7,85.71428571428571
BA Stokes,207,132,156.8181818181818
BAW Mendis,3,6,50.0
BB McCullum,181,100,181.0
BB Samantray,42,31,135.48387096774192
BB Sran,10,14,71.42857142857143
BCJ Cutting,216,126,171.42857142857142
BE Hendricks,1,3,33.33333333333333
BJ Hodge,606,385,157.40259740259742
BJ Rohrer,79,36,219.44444444444446
Basil Thampi,29,32,90.625
Bipul Sharma,172,110,156.36363636363637
C Bosch,56,31,180.64516129032256
C Connolly,23,11,209.0909090909091
C Green,229,119,192.43697478991598
C Munro,4,6,66.66666666666666
C Nanda,0,1,0.0
C Sakariya,19,27,70.37037037037037
C de Grandhomme,160,117,136.75213675213675
CA Ingram,63,43,146.51162790697674
CA Lynn,36,36,100.0
CA Pujara,47,43,109.30232558139534
CH Gayle,581,304,191.11842105263156
CH Morris,499,311,160.45016077170416
CJ Anderson,175,110,159.0909090909091
CJ Ferguson,23,24,95.83333333333334
CJ Jordan,80,75,106.66666666666667
CK Kapugedera,15,21,71.42857142857143
CK Langeveldt,7,5,140.0
CL White,363,199,182.41206030150755
CM Gautam,55,45,122.22222222222223
CR Brathwaite,157,85,184.7058823529412
CR Woakes,63,56,112.5
CRD Fernando,4,3,133.33333333333331
