batter,pp_runs,pp_balls,pp_sr
A Ashish Reddy,5,7,71.42857142857143
A Badoni,47,65,72.3076923076923
A Chopra,27,41,65.85365853658537
A Flintoff,14,15,93.33333333333333
A Manohar,12,18,66.66666666666666
A Mhatre,245,137,178.83211678832117
A Mishra,1,5,20.0
A Mukund,14,16,87.5
A Raghuvanshi,217,143,151.74825174825176
A Symonds,72,86,83.72093023255815
A Tomar,4,8,50.0
AA Bilakhia,23,33,69.6969696969697
AA Jhunjhunwala,24,36,66.66666666666666
AA Kulkarni,9,8,112.5
AB Agarkar,20,15,133.33333333333331
AB Barath,18,14,128.57142857142858
AB McDonald,30,19,157.89473684210526
AB de Villiers,741,630,117.61904761904762
AC Blizzard,99,77,128.57142857142858
AC Gilchrist,1385,1080,128.24074074074073
AC Voges,7,9,77.77777777777779
AD Hales,114,82,139.02439024390242
AD Mascarenhas,4,2,200.0
AD Mathews,10,17,58.82352941176471
AD Nath,11,12,91.66666666666666
AD Russell,41,17,241.17647058823528
AG Paunikar,49,61,80.32786885245902
AJ Finch,911,826,110.2905569007264
AK Markram,458,352,130.11363636363635
AL Menaria,8,8,100.0
AM Nayar,65,76,85.52631578947368
AM Rahane,2637,2199,119.9181446111869
AN Ghosh,7,7,100.0
AP Majumdar,21,15,140.0
AP Tare,226,214,105.60747663551402
AR Patel,72,68,105.88235294117648
AS Raut,7,6,116.66666666666667
AS Roy,4,5,80.0
AT Rayudu,777,750,103.60000000000001
AUK Pathan,14,6,233.33333333333334
Abdul Samad,2,2,100.0
Abhishek Sharma,1125,720,156.25
Abishek Porel,316,217,145.62211981566819
Aman Hakim Khan,4,5,80.0
Aniket Verma,17,17,100.0
Anirudh Singh,18,22,81.81818181818183
Ankit Sharma,27,23,117.3913043478261
Anmolpreet Singh,116,93,124.73118279569893
Anuj Rawat,83,91,91.20879120879121
Atharva Taide,157,112,140.17857142857142
Azhar Mahmood,22,24,91.66666666666666
B Chipli,55,79,69.62025316455697
B Indrajith,19,28,67.85714285714286
B Sai Sudharsan,747,578,129.23875432525952
BA Stokes,240,186,129.03225806451613
BB McCullum,1557,1278,121.83098591549295
BB Samantray,15,22,68.18181818181817
BJ Haddin,18,11,163.63636363636365
BJ Hodge,148,169,87.57396449704143
BJ Rohrer,0,1,0.0
BKG Mendis,20,10,200.0
BMAJ Mendis,1,2,50.0
BR Dunk,40,36,111.11111111111111
C Connolly,27,19,142.10526315789474
C Green,203,130,156.15384615384616
